epoch,loss,mse
0,19.965452194213867,17.73281478881836
1,4.438839435577393,2.7269272804260254
2,2.743351936340332,1.642335295677185
3,2.192211866378784,1.2646363973617554
4,1.959632158279419,1.1685450077056885
5,1.8090986013412476,1.0801470279693604
6,1.7010798454284668,1.0244207382202148
7,1.612410545349121,0.9786191582679749
8,1.5334843397140503,0.9353086352348328
9,1.4633190631866455,0.896630048751831
10,1.4010885953903198,0.8609926104545593
11,1.3446362018585205,0.8298583030700684
12,1.2971621751785278,0.8036839962005615
13,1.253840446472168,0.7808632850646973
14,1.2194188833236694,0.7661194205284119
15,1.1890146732330322,0.7518647313117981
16,1.1652835607528687,0.7449074387550354
17,1.1443692445755005,0.7383825778961182
18,1.1243082284927368,0.7316665053367615
19,1.1095563173294067,0.728586733341217
20,1.0973436832427979,0.7287152409553528
21,1.085856556892395,0.7260290384292603
22,1.0742357969284058,0.7259896993637085
23,1.0647603273391724,0.7226665616035461
24,1.0572469234466553,0.7238761186599731
25,1.048661470413208,0.7227622866630554
26,1.0418245792388916,0.7202836871147156
27,1.0362149477005005,0.7224188446998596
28,1.0301252603530884,0.7213886976242065
29,1.0210154056549072,0.7161477208137512
30,1.0179967880249023,0.7203346490859985
31,1.0112569332122803,0.7163521647453308
32,1.0071312189102173,0.7168798446655273
33,1.0064946413040161,0.7188521027565002
34,1.0023187398910522,0.7192052006721497
35,0.992476224899292,0.7148058414459229
36,0.9946264028549194,0.7179440259933472
37,0.9882615208625793,0.7168166041374207
38,0.9794960021972656,0.7109940648078918
39,0.9769352674484253,0.7095123529434204
40,0.9721682667732239,0.7080942392349243
41,0.9716220498085022,0.7092623710632324
42,0.968612015247345,0.7101886868476868
43,0.9642567038536072,0.7098755836486816
44,0.9664551615715027,0.7147156596183777
45,0.9572415947914124,0.7066195011138916
46,0.9553734660148621,0.7064288258552551
47,0.9516671895980835,0.7059982419013977
48,0.9501606822013855,0.7047384977340698
49,0.9466484189033508,0.7061604261398315
50,0.9445200562477112,0.7046204209327698
51,0.9401594996452332,0.7030730843544006
52,0.9381572008132935,0.7032772898674011
53,0.9379348158836365,0.7045087218284607
54,0.9325007200241089,0.7011930346488953
55,0.9330503344535828,0.7028040289878845
56,0.9296935200691223,0.7017769813537598
57,0.9253650903701782,0.6973580121994019
58,0.9252018928527832,0.7020378708839417
59,0.9217987656593323,0.6980143189430237
60,0.9195147752761841,0.6986392736434937
61,0.9190648198127747,0.6978847980499268
62,0.9179124236106873,0.700414776802063
63,0.9141146540641785,0.696667492389679
64,0.913204550743103,0.6987802982330322
65,0.9148437976837158,0.7022292613983154
66,0.9108434915542603,0.6980148553848267
67,0.9098655581474304,0.6993714570999146
68,0.9067042469978333,0.6967722773551941
69,0.9038512110710144,0.697547972202301
70,0.8987900614738464,0.6931628584861755
71,0.8980868458747864,0.69097501039505
72,0.8966057896614075,0.6937893033027649
73,0.8949949145317078,0.6927543878555298
74,0.8959121108055115,0.6943355798721313
75,0.8971557021141052,0.6983000040054321
76,0.8935750126838684,0.6944056749343872
77,0.8919590711593628,0.6937735080718994
78,0.891174852848053,0.6942535042762756
79,0.8895846009254456,0.6952426433563232
