,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
0,tt0369610,2371716609,Jurassic World,"Action
    
        Adventure
    
        Sci-Fi",2015,652270625,1670400637,208806270,150000000.0,4274,12-Jun-15,PG-13,210,4291,"Chris Pratt
Bryce Dallas Howard
Irrfan Khan
Vincent D'Onofrio
Ty Simpkins",Colin Trevorrow,"Rick Jaffa
 Amanda Silver
 Colin Trevorrow
 Derek Connolly
 Rick Jaffa
 Amanda Silver
 Michael Crichton","Patrick Crowley
 Frank Marshall
 Christopher Raimo
 Steven Spielberg
 Thomas Tull
 Trevor Waterson",124,7.0,581712,59.0,"1,562 user
696 critic
",USA,English,Universal Pictures,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
1,tt2488496,2691925505,Star Wars: Episode VII - The Force Awakens,"Action
    
        Adventure
    
        Sci-Fi",2015,936662225,2068223624,247966675,245000000.0,4134,18-Dec-15,PG-13,380,4134,"Harrison Ford
Mark Hamill
Carrie Fisher
Adam Driver
Daisy Ridley",J.J. Abrams,"Lawrence Kasdan
 J.J. Abrams
 Michael Arndt
 George Lucas","J.J. Abrams
 Pippa Anderson
 Michael Arndt
 Bryan Burk
 Leifur B. Dagfinnsson
 Tommy Gormley
 Tommy Harper
 Kathleen Kennedy
 Jason D. McGatlin
 Michelle Rejwan
 Ben Rosenblatt
 John Swartz
 Susan Towner
 Lawrence Kasdan",138,7.9,863985,80.0,"4,913 user
908 critic
",USA,English,Walt Disney Studios Motion Pictures,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
2,tt2395427,675644929,Avengers: Age of Ultron,"Action
    
        Adventure
    
        Sci-Fi",2015,459005868,1402805868,191271109,250000000.0,4276,1-May-15,PG-13,245,4276,"Robert Downey Jr.
Chris Hemsworth
Mark Ruffalo
Chris Evans
Scarlett Johansson",Joss Whedon,"Joss Whedon
 Stan Lee
 Jack Kirby
 Joe Simon
 Jack Kirby
 Jim Starlin","Victoria Alonso
 Mitchell Bell
 Jamie Christopher
 Louis D'Esposito
 Jon Favreau
 Kevin Feige
 Alan Fine
 Jeffrey Ford
 Genevieve Hofmeyr
 Daniel S. Kaminsky
 Jeremy Latcham
 Ji-seung Lee
 Stan Lee
 Nicholas Simon
 Enzo Sisti
 Patricia Whitcher",141,7.3,749509,66.0,"1,330 user
694 critic
",USA,English,Walt Disney Studios Motion Pictures,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
3,tt2096673,4016604673,Inside Out,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy",2015,356461711,857611174,90440272,175000000.0,3946,19-Jun-15,PG,203,4158,"Amy Poehler
Phyllis Smith
Richard Kind
Bill Hader
Lewis Black","Pete Docter
 Ronnie Del Carmen","Pete Docter
 Ronnie Del Carmen
 Pete Docter
 Meg LeFauve
 Josh Cooley
 Michael Arndt
 Simon Rich
 Bill Hader
 Amy Poehler","John Lasseter
 Mark Nielsen
 Jonas Rivera
 Andrew Stanton",95,8.1,621274,94.0,"1,089 user
593 critic
",USA,English,Walt Disney Studios Motion Pictures,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
4,tt2820852,1045661185,Furious 7,"Action
    
        Adventure
    
        Thriller",2015,353007020,1515047671,147187040,190000000.0,4004,3-Apr-15,PG-13,273,4022,"Vin Diesel
Paul Walker
Jason Statham
Michelle Rodriguez
Jordana Brewster",James Wan,"Chris Morgan
 Gary Scott Thompson","Brandon Birtell
 Vin Diesel
 Michael Fottrell
 Hiram Garcia
 Amanda Lewis
 Adam McCarthy
 F. Valentino Morales
 Chris Morgan
 Neal H. Moritz
 Samantha Vincent",137,7.1,360774,67.0,"756 user
460 critic
","USA
China
Japan
Canada
United Arab Emirates",English,Universal Pictures,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
5,tt2179136,2923660801,American Sniper,"Action
    
        Biography
    
        Drama
    
        War",2015,350126372,547426372,633456,58800000.0,4,30-May-14,R,372,3885,"Bradley Cooper
Kyle Gallner
Cole Konis
Ben Reed
Elise Robertson",Clint Eastwood,"Jason Hall
 Chris Kyle
 Scott McEwen
 Jim DeFelice","Zakaria Alaoui
 Bruce Berman
 Bradley Cooper
 Clint Eastwood
 Jason Hall
 Sheroum Kim
 Chris Kyle
 Andrew Lazar
 Robert Lorenz
 Jessica Meier
 Steven Mnuchin
 Tim Moore
 Peter Morgan
 Kristina Rivera",133,7.3,441746,72.0,"1,077 user
526 critic
",USA,English,Warner Bros.,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
6,tt2293640,2271380993,Minions,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi",2015,336045770,1159398397,115718405,74000000.0,4301,10-Jul-15,PG,182,4311,"Sandra Bullock
Jon Hamm
Michael Keaton
Allison Janney
Steve Coogan","Kyle Balda
 Pierre Coffin",Brian Lynch,"Janet Healy
 Brett Hoffman
 Christopher Meledandri
 Chris Renaud
 Robert Taylor",91,6.4,213192,56.0,"359 user
340 critic
","USA
Japan
France",English,Universal Pictures,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
7,tt1951266,4032333313,The Hunger Games: Mockingjay - Part 2,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",2015,281723902,658344137,102665981,160000000.0,4175,20-Nov-15,PG-13,408,4175,"Jennifer Lawrence
Josh Hutcherson
Liam Hemsworth
Woody Harrelson
Donald Sutherland",Francis Lawrence,"Peter Craig
 Danny Strong
 Suzanne Collins
 Suzanne Collins","John Bernard
 Suzanne Collins
 Joseph Drake
 Miki Emmrich
 Christoph Fisser
 Jan Foster
 Jeffrey Harlacker
 Nina Jacobson
 Jon Kilik
 Cameron MacConomy
 Henning Molfenter
 Allison Shearmur
 Bryan Unkeless
 Patrick Wachsberger
 Charlie Woebcken
 Michael Paseornek",137,6.6,288703,65.0,"482 user
428 critic
","USA
Germany
Canada
France",English,Lionsgate,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.
8,tt3659388,3496969729,The Martian,"Adventure
    
        Drama
    
        Sci-Fi",2015,228433663,630161890,54308575,108000000.0,3831,2-Oct-15,PG-13,457,3854,"Matt Damon
Jessica Chastain
Kristen Wiig
Jeff Daniels
Michael Peña",Ridley Scott,"Drew Goddard
 Andy Weir","Howard Ellis
 Drew Goddard
 Adam Goodman
 Mark Huffam
 Teresa Kelly
 Simon Kinberg
 Michael Schaefer
 Ridley Scott
 Aditya Sood",144,8.0,764570,80.0,"1,377 user
633 critic
","UK
USA
Hungary
Jordan",English,Twentieth Century Fox,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
9,tt1661199,4165699073,Cinderella,"Drama
    
        Family
    
        Fantasy
    
        Romance",2015,201151353,542351353,67877361,95000000.0,3845,13-Mar-15,PG,294,3848,"Cate Blanchett
Lily James
Richard Madden
Helena Bonham Carter
Nonso Anozie",Kenneth Branagh,"Chris Weitz
 Charles Perrault","David Barron
 Simon Kinberg
 Tim Lewis
 Allison Shearmur
 Barry H. Waldman",105,6.9,161855,67.0,"470 user
374 critic
","USA
UK",English,Walt Disney Studios Motion Pictures,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
