,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
144,tt1800302,4085155329,Gold,"Adventure
    
        Crime
    
        Drama",2017,7227038,14880939,3471316,70000000.0,2166,27-Jan-17,R,339,2166,"Matthew McConaughey
Edgar Ramírez
Bryce Dallas Howard
Corey Stoll
Toby Kebbell",Stephen Gaghan,"Patrick Massett
 John Zinman","David Boies
 David Glasser
 Paul Haggis
 Michael Heimler
 Chris Lowenstein
 Patrick Massett
 Matthew McConaughey
 Richard Middleton
 Michael Nozik
 Teddy Schwarzman
 Ethan Smith
 Daniel Steinman
 Ben Stillman
 Bob Weinstein
 Harvey Weinstein
 John Zinman",120,6.7,57833,49.0,"116 user
226 critic
",USA,English,The Weinstein Company,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."
145,tt5804314,1711441409,Let There Be Light,Drama,2017,7233471,7233471,1729535,5000000.0,373,17-Jul-15,PG-13,431,774,"Kevin Sorbo
Sam Sorbo
Daniel Roebuck
Donielle Artese
Gary Grubbs",Kevin Sorbo,"Sam Sorbo
 Dan Gordon","Oliver Coltress
 Damon Elliott
 Cherelle George
 Dan Gordon
 Sean Hannity
 Patrick Hughes
 Warren Ostergard
 James Quattrochi
 Sam Sorbo
 Charles Wesley",100,4.7,2521,,"117 user
18 critic
",USA,English,Atlas Distribution Company,An atheist goes through a near-death experience in a car accident before converting to Christianity.
146,tt5804038,1325499905,I Am Not Your Negro,"Documentary
    
        History",2017,7123919,8345298,686378,60000000.0,43,3-Feb-17,PG-13,332,320,"Samuel L. Jackson
James Baldwin
Martin Luther King
Malcolm X
Medgar Evers",Raoul Peck,"James Baldwin
 Raoul Peck","Joëlle Bertossa
 Rémi Grellety
 Hébert Peck
 Raoul Peck
 Patrick Quinet
 Audrey Rosenberg
 Amy Shatsky-Gambrill",93,7.9,19873,95.0,"88 user
163 critic
","Switzerland
France
Belgium
USA",English,Magnolia Pictures,"Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House."
147,tt5929750,1258325505,Beatriz at Dinner,"Comedy
    
        Drama",2017,7115854,7425391,141959,30000000.0,5,3-Jun-16,R,206,683,"Salma Hayek
John Lithgow
Connie Britton
Jay Duplass
Amy Landecker",Miguel Arteta,Mike White,"Jason Cloth
 Brad Feinstein
 Aaron L. Gilbert
 Brenda Gilbert
 Fiona Walsh Heinz
 Lewis Hendler
 David Hinojosa
 Ally Israelson
 Pamela Koffler
 William B. Macomber
 Richard McConnell
 Andrew Pollack
 Sander Shalinsky
 Alan Simpson
 Jose Tamez
 Paul Tennyson
 Steven Thibault
 Christine Vachon",82,6.0,9093,68.0,"153 user
87 critic
",USA,English,Roadside Attractions,A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.
148,tt2720826,2030274049,Birth of the Dragon,"Action
    
        Biography
    
        Drama",2017,6901965,7215027,2702430,3300000.0,1618,25-Aug-17,PG-13,129,1633,"Yu Xia
Wang Xi'An
Hai Yu
Yue Wu
Billy Magnussen",George Nolfi,"Stephen J. Rivele
 Christopher Wilkinson
 Michael Dorgan","Jason Blum
 Bohan Gong
 Sunil Homes
 Drew James
 Michael London
 Michael J. Luisi
 Jaeson Ma
 Kelly Mullen
 Massimiliano Musina
 David Nicksay
 George Nolfi
 Hong Pang
 Stephen J. Rivele
 Joel Viertel
 Christopher Wilkinson
 Janice Williams
 Leo Shi Young
 Helen Ye Zhong",95,5.5,7217,35.0,"187 user
61 critic
","China
Canada
USA",English,BH Tilt,"Set against the backdrop of 1960s San Francisco, BIRTH OF THE DRAGON is a modern take on the classic movies that Bruce Lee was known for. It takes its inspiration from the epic and still controversial showdown between an up-and-coming Bruce Lee and kung fu master Wong Jack Man - a battle that gave birth to a legend."
149,tt0490215,142575105,Silence,"Drama
    
        History",2017,7100177,23834809,130880,35000000.0,4,1-Apr-16,R,374,1580,"Andrew Garfield
Adam Driver
Liam Neeson
Tadanobu Asano
Ciarán Hinds",Martin Scorsese,"Jay Cocks
 Martin Scorsese
 Shûsaku Endô","Brandt Andersen
 Michael Barnes
 Lawrence Bender
 Len Blavatnik
 Marianne Bower
 Paul Breuls
 Cary Brown
 Dale A. Brown
 Vittorio Cecchi Gori
 Agustín Coppel
 Ruben Coppel
 Josh Cowell
 Barbara De Fina
 Randall Emmett
 Stuart Ford
 George Furla
 Manu Gargi
 Aviv Giladi
 Wayne Marc Godfrey
 Brent Ryan Green
 Anthony Jabre
 Niels Juul
 Dan Kao
 Ken Kao
 Nicholas Kazan
 Arnaud Lannic
 Christophe Lannic
 David Lee
 Matthew J. Malek
 Eriko Miyagawa
 Gianni Nunnari
 Gastón Pavlovich
 Ben Rodriguez
 Diane L. Sabatini
 Martin Scorsese
 Emma Tillinger Koskoff
 Chad A. Verdi
 Michelle Verdi
 David Webb
 Irwin Winkler
 Tyler Zacharia",161,7.2,101026,79.0,"453 user
429 critic
","USA
UK
Taiwan
Japan
Mexico
Italy",English,Paramount Pictures,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
150,tt1758810,3682371073,The Snowman,"Crime
    
        Drama
    
        Thriller",2017,6700035,43155261,3372565,35000000.0,1812,20-Oct-17,R,77,1815,"Michael Fassbender
Rebecca Ferguson
Charlotte Gainsbourg
Jonas Karlsson
Michael Yates",Tomas Alfredson,"Peter Straughan
 Hossein Amini
 Søren Sveistrup
 Jo Nesbø","Tomas Alfredson
 Tim Bevan
 Liza Chasin
 Eric Fellner
 Amelia Granger
 Piodor Gustafsson
 Richard Hewitt
 Alexander O'Neal
 Martin Scorsese
 Robyn Slovo
 Emma Tillinger Koskoff
 Tor Arne Øvrebø",119,5.1,58889,23.0,"465 user
263 critic
","UK
USA
China
Sweden
Japan",English,Universal Pictures,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
151,tt4682786,763332097,Collateral Beauty,"Drama
    
        Romance",2017,31016021,88528280,7102085,36000000.0,3028,16-Dec-16,PG-13,381,3028,"Will Smith
Edward Norton
Kate Winslet
Michael Peña
Helen Mirren",David Frankel,Allan Loeb,"Michael Bederman
 Bruce Berman
 Anthony Bregman
 Richard Brener
 Peter Cron
 Michael Disco
 Bard Dorros
 Toby Emmerich
 Kevin Scott Frakes
 Allan Loeb
 Josh Mack
 Steven Mnuchin
 Steven Pearl
 Ankur Rungta
 Michael Sugar",97,6.8,92268,23.0,"400 user
197 critic
",USA,English,Warner Bros.,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
152,tt1230168,1601144321,Same Kind of Different as Me,"Biography
    
        Drama",2017,6423605,6423605,2591985,17500000.0,1362,20-Oct-17,PG-13,438,1362,"Greg Kinnear
Renée Zellweger
Djimon Hounsou
Jon Voight
Olivia Holt",Michael Carney,"Ron Hall
 Denver Moore
 Lynn Vincent
 Michael Carney
 Alexander Foard
 Ron Hall","Chris Bancroft
 Cale Boyter
 Katie Calhoon
 Michael Carney
 Alexander Foard
 Hans Graffunder
 Richard Graves
 Ron Hall
 Stephen D. Johnston
 Darren Moorman
 Mary Parent
 Jeff Snyder",119,6.6,6520,47.0,"88 user
28 critic
",USA,English,Pure Flix Entertainment,"International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives."
153,tt1366338,1736345089,Lowriders,"Adventure
    
        Crime
    
        Drama",2017,6303560,6312033,2403885,600000.0,295,12-May-17,PG-13,234,365,"Gabriel Chavarria
Demián Bichir
Theo Rossi
Tony Revolori
Melissa Benoist",Ricardo de Montreuil,"Elgin James
 Cheo Hodari Coker","Joshua Beirne-Golden
 Jason Blum
 Marcei A. Brown
 Alexandre Dauman
 Phillip Dawe
 Brian Grazer
 Mark Machado
 Flavio Morales
 Estevan Oriol
 Kim Roth
 Couper Samuelson
 Beatriz Sequeira
 Justin Tipping
 Jeanette Volturno",98,5.7,2249,57.0,"15 user
14 critic
",USA,English,BH Tilt,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
