,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
0,tt0848228,709199361,The Avengers,"Action
    
        Adventure
    
        Sci-Fi",2012,623357910,1518812988,207438708.0,220000000.0,4349.0,"May 4, 2012",PG-13,242,4349,"Robert Downey Jr.
Chris Evans
Mark Ruffalo
Chris Hemsworth
Scarlett Johansson",Joss Whedon,"Joss Whedon
 Zak Penn
 Joss Whedon","Victoria Alonso
 Louis D'Esposito
 Jon Favreau
 Kevin Feige
 Alan Fine
 Jeremy Latcham
 Stan Lee
 Patricia Whitcher",143.0,8.0,1265922,69.0,"1,969 user
757 critic
",USA,English,Walt Disney Studios Motion Pictures,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
1,tt1345836,3745875457,The Dark Knight Rises,"Action
    
        Adventure",2012,448139099,1081041287,160887295.0,250000000.0,4404.0,"Jul 20, 2012",PG-13,168,4404,"Christian Bale
Gary Oldman
Tom Hardy
Joseph Gordon-Levitt
Anne Hathaway",Christopher Nolan,"Jonathan Nolan
 Christopher Nolan
 Christopher Nolan
 David S. Goyer
 Bob Kane","Kevin de la Noy
 Jordan Goldberg
 Benjamin Melniker
 Christopher Nolan
 Charles Roven
 Dileep Singh Rathore
 Emma Thomas
 Thomas Tull
 Michael E. Uslan",164.0,8.4,1523742,78.0,"3,180 user
555 critic
","UK
USA",English,Warner Bros.,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
2,tt1392170,4049110529,The Hunger Games,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",2012,408010692,694394724,152535747.0,78000000.0,4137.0,"Mar 23, 2012",PG-13,284,4137,"Stanley Tucci
Wes Bentley
Jennifer Lawrence
Willow Shields
Liam Hemsworth",Gary Ross,"Gary Ross
 Suzanne Collins
 Billy Ray
 Suzanne Collins","Diana Alvarez
 Robin Bissell
 Martin Cohen
 Suzanne Collins
 Chantal Feghali
 Nina Jacobson
 Jon Kilik
 Michael Paseornek
 Louis Phillips
 Aldric La'auli Porter
 Louise Rosner
 Bryan Unkeless",142.0,7.2,847451,68.0,"2,076 user
691 critic
",USA,English,Lionsgate,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
3,tt1074638,1346799105,Skyfall,"Action
    
        Adventure
    
        Thriller",2012,304360277,1108561013,88364714.0,200000000.0,3505.0,"Nov 9, 2012",PG-13,418,3526,"Daniel Craig
Judi Dench
Javier Bardem
Ralph Fiennes
Naomie Harris",Sam Mendes,"Neal Purvis
 Robert Wade
 John Logan
 Ian Fleming","Barbara Broccoli
 Chiu Wah Lee
 Callum McDougall
 Andrew Noakes
 David Pope
 Gregg Wilson
 Michael G. Wilson",143.0,7.7,632357,81.0,"1,614 user
522 critic
","UK
USA
Turkey",English,Sony Pictures Entertainment (SPE),"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
4,tt1673434,3276178945,The Twilight Saga: Breaking Dawn - Part 2,"Adventure
    
        Drama
    
        Fantasy
    
        Romance",2012,292324737,829746820,141067634.0,120000000.0,4070.0,"Nov 16, 2012",PG-13,411,4070,"Kristen Stewart
Robert Pattinson
Taylor Lautner
Peter Facinelli
Elizabeth Reaser",Bill Condon,"Melissa Rosenberg
 Stephenie Meyer","Bill Bannerman
 Marty Bowen
 Wyck Godfrey
 Barbara Kelly
 Stephenie Meyer
 Greg Mooradian
 Mark Morgan
 Guy Oseary
 Karen Rosenfelt",115.0,5.5,232565,52.0,"390 user
336 critic
",USA,English,Lionsgate,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
5,tt0948470,930317825,The Amazing Spider-Man,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",2012,262030663,757930663,62004688.0,230000000.0,4318.0,"Jul 3, 2012",PG-13,182,4318,"Andrew Garfield
Emma Stone
Rhys Ifans
Denis Leary
Martin Sheen",Marc Webb,"James Vanderbilt
 Alvin Sargent
 Steve Kloves
 James Vanderbilt
 Stan Lee
 Steve Ditko","Avi Arad
 Tom Cohen
 Matt Daly
 Kevin Feige
 Michael Grillo
 Kyla Kraman
 Stan Lee
 Beatriz Sequeira
 Matt Tolmach
 Laura Ziskin",136.0,6.9,560799,66.0,"1,355 user
628 critic
",USA,English,Sony Pictures Entertainment (SPE),"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
6,tt1217209,910460417,Brave,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",2012,237283207,538983207,66323594.0,185000000.0,4164.0,"Jun 22, 2012",PG,558,4164,"Kelly Macdonald
Billy Connolly
Emma Thompson
Julie Walters
Robbie Coltrane","Mark Andrews
 Brenda Chapman
 Steve Purcell","Brenda Chapman
 Mark Andrews
 Steve Purcell
 Brenda Chapman
 Irene Mecchi","Pete Docter
 Mary Alice Drumm
 John Lasseter
 Katherine Sarafian
 Andrew Stanton
 Eddie Thomas
 Mark Thomas",93.0,7.1,374912,69.0,"535 user
510 critic
","USA
UK",English,Walt Disney Studios Motion Pictures,"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
7,tt0903624,2321122817,The Hobbit: An Unexpected Journey,"Adventure
    
        Fantasy",2012,303003568,1017003568,84617303.0,150000000.0,4045.0,"Dec 14, 2012",PG-13,383,4100,"Ian McKellen
Martin Freeman
Richard Armitage
Ken Stott
Graham McTavish",Peter Jackson,"Fran Walsh
 Philippa Boyens
 Peter Jackson
 Guillermo del Toro
 J.R.R. Tolkien","Carolyn Blackwood
 Philippa Boyens
 Carolynne Cunningham
 Matthew Dravitzki
 Toby Emmerich
 Alan F. Horn
 Peter Jackson
 Ken Kamins
 Eileen Moran
 Amanda Walker
 Fran Walsh
 Zane Weiner",169.0,7.8,760085,58.0,"1,466 user
672 critic
","New Zealand
USA",English,Warner Bros.,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
8,tt1637725,2255848961,Ted,Comedy,2012,218815487,549368315,54415205.0,50000000.0,3239.0,"Jun 29, 2012",R,186,3303,"Mark Wahlberg
Mila Kunis
Seth MacFarlane
Joel McHale
Giovanni Ribisi",Seth MacFarlane,"Seth MacFarlane
 Alec Sulkin
 Wellesley Wild
 Seth MacFarlane","Jason Clark
 Eric Heffron
 John Jacobs
 Mark Kamine
 Seth MacFarlane
 Joseph J. Micucci
 Jon Mone
 Scott Stuber
 John Wiseman",106.0,6.9,571678,62.0,"676 user
469 critic
",USA,English,Universal Pictures,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori."
9,tt1277953,1415611905,Madagascar 3: Europe's Most Wanted,"Adventure
    
        Animation
    
        Comedy
    
        Family",2012,216391482,746921274,60316738.0,145000000.0,4258.0,"Jun 8, 2012",PG,207,4263,"Ben Stiller
Chris Rock
David Schwimmer
Jada Pinkett Smith
Sacha Baron Cohen","Eric Darnell
 Tom McGrath
 Conrad Vernon","Eric Darnell
 Noah Baumbach
 Mark Burton
 Billy Frolick
 Alejandro Bien-Willner","Holly Edwards
 Lisa J. Freberg
 Chad Hammes
 Mireille Soria
 Mark Swift",95.0,6.8,164354,60.0,"200 user
215 critic
","USA
Madagascar",English,DreamWorks,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
