,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
0,tt1825683,2992866817,Black Panther,"Action
    
        Adventure
    
        Sci-Fi",2018.0,700059566,1346913161,202003951.0,317000000.0,4020.0,"Feb 16, 2018",PG-13,319,4084,"Chadwick Boseman
Michael B. Jordan
Lupita Nyong'o
Danai Gurira
Martin Freeman",Ryan Coogler,"Ryan Coogler
 Joe Robert Cole
 Stan Lee
 Jack Kirby","Victoria Alonso
 Jeffrey Chernov
 Louis D'Esposito
 Kevin Feige
 David J. Grant
 Genevieve Hofmeyr
 Danny 'Yun Tae' Kang
 Stan Lee
 Nate Moore",134.0,7.3,630671.0,88.0,"3,315 user
493 critic
",USA,English,Walt Disney Studios Motion Pictures,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
1,tt4154756,3043198465,Avengers: Infinity War,"Action
    
        Adventure
    
        Sci-Fi",2018.0,678815482,2048359754,257698183.0,160000000.0,4474.0,"Apr 27, 2018",PG-13,249,4474,"Robert Downey Jr.
Chris Hemsworth
Mark Ruffalo
Chris Evans
Scarlett Johansson","Anthony Russo
 Joe Russo","Christopher Markus
 Stephen McFeely
 Stan Lee
 Jack Kirby
 Joe Simon
 Jack Kirby
 Steve Englehart
 Steve Gan
 Bill Mantlo
 Keith Giffen
 Jim Starlin
 Stan Lee
 Larry Lieber
 Jack Kirby
 Steve Englehart
 Don Heck
 Jim Starlin","Victoria Alonso
 Mitchell Bell
 Ari Costa
 Louis D'Esposito
 Jon Favreau
 Kevin Feige
 Michael Grillo
 James Gunn
 Stan Lee
 JoAnn Perritano
 Edu Sallouti
 Nicholas Simon
 Trinh Tran
 Jen Underdahl",149.0,8.4,844619.0,68.0,"4,314 user
618 critic
",USA,English,Walt Disney Studios Motion Pictures,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
2,tt3606756,2071758337,Incredibles 2,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi",2018.0,608581744,1242805359,182687905.0,149000000.0,4410.0,"Jun 15, 2018",PG,203,4410,"Craig T. Nelson
Holly Hunter
Sarah Vowell
Huck Milner
Catherine Keener",Brad Bird,Brad Bird,"John Lasseter
 Nicole Paradis Grindle
 John Walker",118.0,7.6,252383.0,80.0,"1,095 user
399 critic
",USA,English,Walt Disney Studios Motion Pictures,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
3,tt4881806,1602061825,Jurassic World: Fallen Kingdom,"Action
    
        Adventure
    
        Sci-Fi",2018.0,417719760,1308467944,148024610.0,170000000.0,4475.0,"Jun 22, 2018",PG-13,193,4485,"Chris Pratt
Bryce Dallas Howard
Rafe Spall
Justice Smith
Daniella Pineda",J.A. Bayona,"Derek Connolly
 Colin Trevorrow
 Michael Crichton","Belén Atienza
 Patrick Crowley
 Thomas Hayslip
 Frank Marshall
 Robin Mulcahy Fisichella
 Steven Spielberg
 Colin Trevorrow",128.0,6.2,268427.0,51.0,"1,900 user
455 critic
",USA,English,Universal Pictures,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
4,tt5463162,2488436225,Deadpool 2,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi",2018.0,318491426,734546611,125507153.0,110000000.0,4349.0,"May 18, 2018",R,228,4349,"Ryan Reynolds
Josh Brolin
Morena Baccarin
Julian Dennison
Zazie Beetz",David Leitch,"Rhett Reese
 Paul Wernick
 Ryan Reynolds
 Rob Liefeld
 Fabian Nicieza","Simon Kinberg
 Stan Lee
 Jonathon Komack Martin
 Kelly McCormick
 Rhett Reese
 Ryan Reynolds
 Lauren Shuler Donner
 Ethan Smith
 Aditya Sood
 Paul Wernick",119.0,7.7,483966.0,66.0,"1,340 user
526 critic
","Canada
USA",English,Twentieth Century Fox,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
5,tt2709692,3075966465,The Grinch,"Animation
    
        Comedy
    
        Family
    
        Fantasy",2018.0,270620950,511595957,67572855.0,75000000.0,4141.0,"Nov 9, 2018",PG,418,4141,"Benedict Cumberbatch
Cameron Seely
Rashida Jones
Pharrell Williams
Tristan O'Hare","Yarrow Cheney
 Scott Mosier","Michael LeSieur
 Tommy Swerdlow
 Dr. Seuss","Audrey Geisel
 Janet Healy
 Christopher Meledandri
 Latifa Ouaou
 Chris Renaud
 Robert Taylor",85.0,6.3,56464.0,51.0,"634 user
186 critic
","France
Japan
USA",English,Universal Pictures,A grumpy Grinch (Benedict Cumberbatch) plots to ruin Christmas for the village of Whoville.
6,tt2283362,3095234049,Jumanji: Welcome to the Jungle,"Action
    
        Adventure
    
        Comedy
    
        Fantasy",2018.0,404515480,962077546,36169328.0,90000000.0,3765.0,"Dec 20, 2017",PG-13,377,3849,"Dwayne Johnson
Kevin Hart
Jack Black
Karen Gillan
Rhys Darby",Jake Kasdan,"Chris McKenna
 Erik Sommers
 Scott Rosenberg
 Jeff Pinkner
 Chris McKenna
 Chris Van Allsburg
 Greg Taylor
 Chris Van Allsburg
 Jonathan Hensleigh
 Greg Taylor
 Jim Strain","Ted Field
 Dany Garcia
 Hiram Garcia
 David B. Householter
 Dwayne Johnson
 Jake Kasdan
 Melvin Mar
 William Teitler
 Matt Tolmach
 Mike Weber",119.0,6.9,322517.0,58.0,"917 user
312 critic
","USA
India
Canada
UK
Australia
Germany",English,Sony Pictures Entertainment (SPE),"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
7,tt4912910,2449573377,Mission: Impossible - Fallout,"Action
    
        Adventure
    
        Thriller",2018.0,220159104,791115104,61236534.0,178000000.0,4386.0,"Jul 27, 2018",PG-13,158,4395,"Tom Cruise
Henry Cavill
Ving Rhames
Simon Pegg
Rebecca Ferguson",Christopher McQuarrie,"Bruce Geller
 Christopher McQuarrie","J.J. Abrams
 Raphaël Benoliel
 Per Henry Borch
 Tom Cruise
 David Ellison
 Dana Goldberg
 Tommy Gormley
 Don Granger
 Christopher McQuarrie
 Jake Myers",147.0,7.7,293464.0,86.0,"1,691 user
467 critic
","USA
China
France
Norway
UK",English,Paramount Pictures,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
8,tt5095030,2088535553,Ant-Man and the Wasp,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi",2018.0,216648740,622674139,75812205.0,97000000.0,4206.0,"Jul 6, 2018",PG-13,179,4206,"Paul Rudd
Evangeline Lilly
Michael Peña
Walton Goggins
Bobby Cannavale",Peyton Reed,"Chris McKenna
 Erik Sommers
 Paul Rudd
 Andrew Barrer
 Gabriel Ferrari
 Stan Lee
 Larry Lieber
 Jack Kirby","Victoria Alonso
 Mitchell Bell
 Stephen Broussard
 Louis D'Esposito
 Kevin Feige
 Stan Lee
 Charles Newirth
 Laura Stoltz
 Lars P. Winther
 Kevin R. Wright",118.0,7.1,313932.0,70.0,"969 user
444 critic
",USA,English,Walt Disney Studios Motion Pictures,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
9,tt3778644,1954383361,Solo: A Star Wars Story,"Action
    
        Adventure
    
        Sci-Fi",2018.0,213767512,392924807,84420489.0,275000000.0,4381.0,"May 25, 2018",PG-13,221,4381,"Alden Ehrenreich
Joonas Suotamo
Woody Harrelson
Emilia Clarke
Donald Glover",Ron Howard,"Jonathan Kasdan
 Lawrence Kasdan
 George Lucas","Will Allegra
 Rob Bredow
 Fabiomassimo Dell'Orco
 Simon Emanuel
 Toby Hefferman
 Jonathan Kasdan
 Lawrence Kasdan
 Kathleen Kennedy
 Phil Lord
 Jason D. McGatlin
 Christopher Miller
 Marco Valerio Pugini
 Allison Shearmur
 John Swartz
 Susan Towner
 Andreas Wentz",135.0,6.9,295293.0,62.0,"2,543 user
553 critic
",USA,English,Walt Disney Studios Motion Pictures,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion."
