,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
0,tt4154796,3059975681,Avengers: Endgame,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi",2019,858373000,2797800564,357115007.0,356000000.0,4662.0,"Apr 26, 2019",PG-13,250,4662,"Robert Downey Jr.
Chris Evans
Mark Ruffalo
Chris Hemsworth
Scarlett Johansson","Anthony Russo
 Joe Russo","Christopher Markus
 Stephen McFeely
 Stan Lee
 Jack Kirby
 Joe Simon
 Jack Kirby
 Steve Englehart
 Steve Gan
 Bill Mantlo
 Keith Giffen
 Jim Starlin
 Stan Lee
 Larry Lieber
 Jack Kirby
 Steve Englehart
 Don Heck","Victoria Alonso
 Mitchell Bell
 Ari Costa
 Louis D'Esposito
 Jon Favreau
 Kevin Feige
 Michael Grillo
 James Gunn
 Stan Lee
 Christopher Markus
 Stephen McFeely
 JoAnn Perritano
 Edu Sallouti
 Nicholas Simon
 Trinh Tran
 Jen Underdahl",181.0,8.4,825328,78.0,"9,044 user
577 critic
",USA,English,Walt Disney Studios Motion Pictures,
1,tt6105098,3321923073,The Lion King,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical",2019,543638043,1656943394,191770759.0,260000000.0,4725.0,"Jul 19, 2019",PG,168,4802,"Chiwetel Ejiofor
John Oliver
James Earl Jones
John Kani
Alfre Woodard",Jon Favreau,"Jeff Nathanson
 Irene Mecchi
 Jonathan Roberts
 Linda Woolverton","John Bartnicki
 Debbi Bossi
 Jon Favreau
 Karen Gilchrist
 Tom C. Peitzman
 Thomas Schumacher
 Jeffrey Silver
 Julie Taymor
 David H. Venghaus Jr.",118.0,6.9,214274,55.0,"2,989 user
381 critic
","USA
UK
South Africa",English,Walt Disney Studios Motion Pictures,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
2,tt1979376,3798500865,Toy Story 4,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",2019,434038008,1073394593,120908065.0,200000000.0,4575.0,"Jun 21, 2019",G,196,4575,"Tom Hanks
Tim Allen
Annie Potts
Tony Hale
Keegan-Michael Key",Josh Cooley,"John Lasseter
 Andrew Stanton
 Josh Cooley
 Valerie LaPointe
 Rashida Jones
 Will McCormack
 Martin Hynes
 Stephany Folsom
 Andrew Stanton
 Stephany Folsom","Pete Docter
 Mark Nielsen
 Denise Ream
 Jonas Rivera
 Katherine Sarafian
 Andrew Stanton
 Rosana Sullivan
 Galyn Susman
 Lee Unkrich",100.0,7.8,205963,84.0,"1,341 user
392 critic
",USA,English,Walt Disney Studios Motion Pictures,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
3,tt4520988,2424210945,Frozen II,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical",2019,477373578,1450026933,130263358.0,150000000.0,4440.0,"Nov 22, 2019",PG,466,4440,"Kristen Bell
Idina Menzel
Josh Gad
Jonathan Groff
Sterling K. Brown","Chris Buck
 Jennifer Lee","Jennifer Lee
 Hans Christian Andersen
 Jennifer Lee
 Chris Buck
 Marc Smith
 Kristen Anderson-Lopez
 Robert Lopez
 Allison Schroeder","Peter Del Vecho
 Nicole P. Hearon
 Byron Howard",103.0,6.9,139107,64.0,"1,359 user
285 critic
","USA
Norway",English,Walt Disney Studios Motion Pictures,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
4,tt4154664,3009644033,Captain Marvel,"Action
    
        Adventure
    
        Sci-Fi",2019,426829839,1128274794,153433423.0,160000000.0,4310.0,"Mar 8, 2019",PG-13,299,4310,"Brie Larson
Samuel L. Jackson
Ben Mendelsohn
Jude Law
Annette Bening","Anna Boden
 Ryan Fleck","Anna Boden
 Ryan Fleck
 Geneva Robertson-Dworet
 Nicole Perlman
 Meg LeFauve
 Anna Boden
 Ryan Fleck
 Geneva Robertson-Dworet","Victoria Alonso
 Louis D'Esposito
 Kevin Feige
 David J. Grant
 Stan Lee
 Jonathan Schwartz
 Patricia Whitcher
 Lars P. Winther",123.0,6.9,451336,64.0,"7,275 user
524 critic
","USA
Australia",English,Walt Disney Studios Motion Pictures,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
5,tt2527338,3305145857,Star Wars: Episode IX - The Rise of Skywalker,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",2019,515202542,1074144248,177383864.0,275000000.0,4406.0,"Dec 20, 2019",PG-13,438,4406,"Carrie Fisher
Mark Hamill
Adam Driver
Daisy Ridley
John Boyega",J.J. Abrams,"Chris Terrio
 J.J. Abrams
 Derek Connolly
 Colin Trevorrow
 J.J. Abrams
 Chris Terrio
 George Lucas","J.J. Abrams
 Pippa Anderson
 Candice Campos
 Nour Dardari
 Chris Furia
 Tommy Gormley
 Callum Greene
 Kathleen Kennedy
 Jason D. McGatlin
 Michelle Rejwan",141.0,6.6,378803,53.0,"7,805 user
513 critic
",USA,English,Walt Disney Studios Motion Pictures,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
6,tt6320628,3791750657,Spider-Man: Far from Home,"Action
    
        Adventure
    
        Sci-Fi",2019,390532085,1131927996,92579212.0,160000000.0,4634.0,"Jul 2, 2019",PG-13,183,4634,"Tom Holland
Samuel L. Jackson
Jake Gyllenhaal
Marisa Tomei
Jon Favreau",Jon Watts,"Chris McKenna
 Erik Sommers
 Stan Lee
 Steve Ditko","Victoria Alonso
 Avi Arad
 Chris Buongiorno
 Eric Hauserman Carroll
 Louis D'Esposito
 Kevin Feige
 Thomas M. Hammel
 Stan Lee
 David Minkowski
 Rachel O'Connor
 Amy Pascal
 Jacky Priddle
 Nicola Rosada
 Matthew Stillman
 Matt Tolmach",129.0,7.5,329289,69.0,"2,103 user
425 critic
",USA,English,Sony Pictures Entertainment (SPE),
7,tt6139732,3246360065,Aladdin,"Adventure
    
        Family
    
        Fantasy
    
        Musical
    
        Romance",2019,355559216,1050693953,91500929.0,183000000.0,4476.0,"May 24, 2019",PG,222,4476,"Will Smith
Mena Massoud
Naomi Scott
Marwan Kenzari
Navid Negahban",Guy Ritchie,"John August
 Guy Ritchie","Ivan Atkinson
 Kevin de la Noy
 Jonathan Eirich
 James Herbert
 Max Keene
 Dan Lin
 Karl McMillan
 Mark Mostyn
 Marc Platt",128.0,6.9,229898,53.0,"2,372 user
357 critic
","UK
USA
Australia",English,Walt Disney Studios Motion Pictures,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
8,tt7286456,252151297,Joker,"Crime
    
        Drama
    
        Thriller",2019,335451311,1074251311,96202337.0,55000000.0,4374.0,"Oct 4, 2019",R,515,4374,"Joaquin Phoenix
Robert De Niro
Zazie Beetz
Frances Conroy
Brett Cullen",Todd Phillips,"Todd Phillips
 Scott Silver
 Bob Kane
 Bill Finger
 Jerry Robinson","Richard Baratta
 Bruce Berman
 Jason Cloth
 Bradley Cooper
 Joseph Garner
 Aaron L. Gilbert
 Walter Hamada
 Anjay Nagpal
 Todd Phillips
 Emma Tillinger Koskoff
 Michael E. Uslan
 David Webb",122.0,8.4,955627,59.0,"10,821 user
727 critic
","USA
Canada",English,Warner Bros.,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
9,tt7349950,1107461633,It Chapter Two,"Drama
    
        Fantasy
    
        Horror",2019,211593228,473093228,91062152.0,79000000.0,4570.0,"Sep 6, 2019",R,119,4570,"Jessica Chastain
James McAvoy
Bill Hader
Isaiah Mustafa
Jay Ryan",Andy Muschietti,"Stephen King
 Gary Dauberman","Richard Brener
 Gary Dauberman
 Marty P. Ewing
 Jason Fuchs
 Seth Grahame-Smith
 David Katzenberg
 Roy Lee
 Dan Lin
 Barbara Muschietti
 Dave Neustadter
 Victoria Palmeri
 Darin Read",169.0,6.5,209838,58.0,"2,288 user
436 critic
","Canada
USA",English,Warner Bros.,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
