,Worldwide Gross ($)
411,1484665.0
412,67095.0
413,66166.0
414,65082.0
415,112036.0
416,112313.0
417,62713.0
418,100293273.0
419,58198.0
420,3259068.0
421,11562239.0
422,303574.0
423,68167.0
424,54645.0
425,54543.0
426,54473.0
427,68719.0
428,54305.0
429,53345.0
430,156190.0
431,52476.0
432,52387.0
433,52296.0
434,76185.0
435,602059.0
436,48658.0
437,80654.0
438,15016366.0
439,46488.0
440,971841.0
441,44462.0
442,104532.0
443,42273.0
444,41802.0
445,61997.0
446,294245.0
447,19643086.0
448,40239.0
449,1199877.0
450,14103752.0
451,89442.0
452,38083.0
453,241868.0
454,100202.0
455,920225.0
456,38696.0
457,33024.0
458,32961.0
459,46380.0
460,32476.0
461,32308.0
462,47262.0
463,32208.0
464,31745.0
465,270930.0
466,30975.0
467,77303.0
468,49428.0
469,282737.0
470,30158.0
471,40385.0
472,29866.0
473,29731.0
474,28808.0
475,9329376.0
476,18853164.0
477,52307.0
478,33333531.0
479,276576.0
480,26185.0
481,25572.0
482,25115.0
483,52003.0
484,23889.0
485,29893.0
486,1179676.0
487,22539.0
488,22464.0
489,22083.0
490,22080.0
491,33217.0
492,21648.0
493,346851.0
494,20615.0
495,20279.0
496,20218.0
497,19753.0
498,35556.0
499,19245.0
500,19137.0
501,156612.0
502,38296.0
503,18262.0
504,17921.0
505,439587.0
506,324424.0
507,514354.0
508,16613.0
509,57805.0
510,15628.0
511,15514.0
512,558489.0
513,58334.0
514,2225430.0
515,38382.0
516,50039.0
517,162974.0
518,14457.0
519,20175.0
520,14034.0
521,13722.0
522,13514.0
523,13000.0
524,4163135.0
525,12232.0
526,12095.0
527,11777.0
528,22369.0
529,11710.0
530,186045.0
531,4091378.0
532,13304.0
533,11538.0
534,10783.0
535,36465.0
536,11183.0
537,161110.0
538,33216.0
539,10670.0
540,10501.0
541,1553977.0
542,10024.0
543,10000.0
544,30353.0
545,9812.0
546,18434328.0
547,12839.0
548,9309.0
549,240887.0
550,8738.0
551,9677.0
552,183503.0
553,2176304.0
554,7995.0
555,7943.0
556,7924.0
557,17896.0
558,1187434.0
559,7535.0
560,7461.0
561,17849.0
562,7294.0
563,7199.0
564,185881.0
565,7137.0
566,6892.0
567,70442129.0
568,6783.0
569,6780.0
570,6684.0
571,6534.0
572,98548.0
573,2186716.0
574,64636.0
575,6305.0
576,6000.0
577,89507.0
578,5922.0
579,5673.0
580,5386.0
581,5240.0
582,3101465.0
583,46590.0
584,7862.0
585,147173.0
586,17646627.0
587,6442300.0
588,20099.0
589,17351.0
590,234540.0
591,4362.0
592,4864463.0
593,305766.0
594,4190.0
595,4546.0
596,80112.0
597,3944.0
598,3763.0
599,65051.0
600,28699.0
601,3697.0
602,3644.0
603,5529.0
604,3476.0
605,3467.0
606,3346.0
607,3271.0
608,74586.0
609,805283.0
610,157796.0
611,40349.0
612,2706.0
613,60421.0
614,14471.0
615,48411.0
616,2372.0
617,3059.0
618,2240.0
619,2273.0
620,1134623.0
621,2122.0
622,3669465.0
623,69171.0
624,55618.0
625,1978.0
626,1963.0
627,26260.0
628,1916.0
629,708354.0
630,6196.0
631,1582.0
632,16901.0
633,1512.0
634,1403.0
635,52429.0
636,263723.0
637,781016.0
638,853.0
639,167938.0
640,2936437.0
641,11495.0
642,594.0
643,406.0
644,280892.0
645,9467.0
646,48996.0
647,2762.0
648,46060.0
649,5129.0
650,549495.0
651,1341511219.0
652,1123794079.0
653,712205856.0
654,586764305.0
655,1045713802.0
656,626137675.0
